cancion,artista,tipo,lanzamiento,fecha-lanzamiento
Bemba colora,Celia Cruz,Album,Son con guaguancó,1966
Son con guaguancó,Celia Cruz,Album,Son con guaguancó,1966
Es la humanidad,Celia Cruz,Album,Son con guaguancó,1966
"Lo mismo sí, que no",Celia Cruz,Album,Son con guaguancó,1966
Oye mi consejo,Celia Cruz,Album,Son con guaguancó,1966
Se me perdió la cartera,Celia Cruz,Album,Son con guaguancó,1966
Tremendo guaguancó,Celia Cruz,Album,Son con guaguancó,1966
Permíteme,Celia Cruz,Album,Son con guaguancó,1966
No hay manteca,Celia Cruz,Album,Son con guaguancó,1966
El cohete,Celia Cruz,Album,Son con guaguancó,1966
La adivinanza,Celia Cruz,Album,Son con guaguancó,1966
Amarra la yegua,Celia Cruz,Album,Son con guaguancó,1966
Richie’s Jala‐Jala,Ricardo Ray,Album,Jala Jala y Boogaloo,1967
Baby Don’t You Cry,Ricardo Ray,Album,Jala Jala y Boogaloo,1967
Colombia’s Boogaloo,Ricardo Ray,Album,Jala Jala y Boogaloo,1967
"Stop, Look and Listen",Ricardo Ray,Album,Jala Jala y Boogaloo,1967
Lo atare la arache,Ricardo Ray,Album,Jala Jala y Boogaloo,1967
Cabo E,Ricardo Ray,Album,Jala Jala y Boogaloo,1967
Gentle Rain,Ricardo Ray,Album,Jala Jala y Boogaloo,1967
3 and 1 Mozambique,Ricardo Ray,Album,Jala Jala y Boogaloo,1967
Bomba Camara,Ricardo Ray,Album,Jala Jala y Boogaloo,1967
Tin marín,Ricardo Ray,Album,"Jala, Jala Boogaloo, Volume II",1968
Música ye ye,Ricardo Ray,Album,"Jala, Jala Boogaloo, Volume II",1968
Aquél sía,Ricardo Ray,Album,"Jala, Jala Boogaloo, Volume II",1968
Mr. Trumpet Man,Ricardo Ray,Album,"Jala, Jala Boogaloo, Volume II",1968
Iqui con iqui,Ricardo Ray,Album,"Jala, Jala Boogaloo, Volume II",1968
More Richie,Ricardo Ray,Album,"Jala, Jala Boogaloo, Volume II",1968
Que se rían,Ricardo Ray,Album,"Jala, Jala Boogaloo, Volume II",1968
Las caraqueñas,Ricardo Ray,Album,"Jala, Jala Boogaloo, Volume II",1968
Agúzate,Ricardo Ray & Bobby Cruz,Album,Agúzate,1970
Amparo arrebato,Ricardo Ray & Bobby Cruz,Album,Agúzate,1970
You've Lost That Loving Feeling,Ricardo Ray & Bobby Cruz,Album,Agúzate,1970
Vive feliz,Ricardo Ray & Bobby Cruz,Album,Agúzate,1970
Guaguancó raro,Ricardo Ray & Bobby Cruz,Album,Agúzate,1970
Traigo de todo,Ricardo Ray & Bobby Cruz,Album,Agúzate,1970
Soul and Inspiration,Ricardo Ray & Bobby Cruz,Album,Agúzate,1970
A mi manera / My Way,Ricardo Ray & Bobby Cruz,Album,Agúzate,1970
Sonido bestial,Ricardo Ray y Bobby Cruz,Album,El bestial sonido de... Ricardo Ray y Bobby Cruz,1971
Señora,Ricardo Ray y Bobby Cruz,Album,El bestial sonido de... Ricardo Ray y Bobby Cruz,1971
No tin pena,Ricardo Ray y Bobby Cruz,Album,El bestial sonido de... Ricardo Ray y Bobby Cruz,1971
La Vimari,Ricardo Ray y Bobby Cruz,Album,El bestial sonido de... Ricardo Ray y Bobby Cruz,1971
Guaguancó triste,Ricardo Ray y Bobby Cruz,Album,El bestial sonido de... Ricardo Ray y Bobby Cruz,1971
Fire and Rain,Ricardo Ray y Bobby Cruz,Album,El bestial sonido de... Ricardo Ray y Bobby Cruz,1971
Cha cha huele chango,Ricardo Ray y Bobby Cruz,Album,El bestial sonido de... Ricardo Ray y Bobby Cruz,1971
Volver,Ricardo Ray y Bobby Cruz,Album,El bestial sonido de... Ricardo Ray y Bobby Cruz,1971
Quimbara,Celia,Album,Celia & Johnny,1974
Toro Mata,Celia,Album,Celia & Johnny,1974
Vieja luna,Celia,Album,Celia & Johnny,1974
El paso del mulo,Celia,Album,Celia & Johnny,1974
Tengo el Idde,Celia,Album,Celia & Johnny,1974
Lo tuyo es mental,Celia,Album,Celia & Johnny,1974
Canto a La Habana,Celia,Album,Celia & Johnny,1974
No Mercedes,Celia,Album,Celia & Johnny,1974
El tumbao y Celia,Celia,Album,Celia & Johnny,1974
El Pregón Del Pescador,Celia,Album,Celia & Johnny,1974
Vamos a reir un poco,Héctor Lavoe,Album,De ti depende,1976
De ti depende,Héctor Lavoe,Album,De ti depende,1976
Periodico de ayer,Héctor Lavoe,Album,De ti depende,1976
Consejo de oro,Héctor Lavoe,Album,De ti depende,1976
Tanto como ayer,Héctor Lavoe,Album,De ti depende,1976
Hacha y machete,Héctor Lavoe,Album,De ti depende,1976
Felices horas,Héctor Lavoe,Album,De ti depende,1976
Mentira,Héctor Lavoe,Album,De ti depende,1976
Agusese usted,Alegre All Stars,Album,Perdido,1977
Perdido,Alegre All Stars,Album,Perdido,1977
Y yo ganga,Alegre All Stars,Album,Perdido,1977
Bobby: Bajo y clarinete,Alegre All Stars,Album,Perdido,1977
Lagrimas y tristezas,Alegre All Stars,Album,Perdido,1977
Alegre te invita,Alegre All Stars,Album,Perdido,1977
Plástico,Willie Colón,Album,Siembra,1978
Buscando guayaba,Willie Colón,Album,Siembra,1978
Pedro Navaja,Willie Colón,Album,Siembra,1978
María Lionza,Willie Colón,Album,Siembra,1978
Ojos,Willie Colón,Album,Siembra,1978
Dime,Willie Colón,Album,Siembra,1978
Siembra,Willie Colón,Album,Siembra,1978
El cantante,Héctor Lavoe,Album,Comedia,1978
Comedia,Héctor Lavoe,Album,Comedia,1978
La verdad,Héctor Lavoe,Album,Comedia,1978
Tiempos pasados,Héctor Lavoe,Album,Comedia,1978
Bandolera,Héctor Lavoe,Album,Comedia,1978
¿Por qué te conocí?,Héctor Lavoe,Album,Comedia,1978
Songorocosongo,Héctor Lavoe,Album,Comedia,1978
Al pasito,Grupo Niche,Album,Al pasito,1979
Rosa meneo,Grupo Niche,Album,Al pasito,1979
Primer mensaje,Grupo Niche,Album,Al pasito,1979
Va pregonando,Grupo Niche,Album,Al pasito,1979
Pinta pa’ qué,Grupo Niche,Album,Al pasito,1979
A ti Barranquilla,Grupo Niche,Album,Al pasito,1979
Tiempos de ayer,Grupo Niche,Album,Al pasito,1979
Tata y el sol,Grupo Niche,Album,Al pasito,1979
El sabio,Héctor Lavoe,Album,El sabio,1980
Plazos traicioneros,Héctor Lavoe,Album,El sabio,1980
Noche de farra,Héctor Lavoe,Album,El sabio,1980
Para ochún,Héctor Lavoe,Album,El sabio,1980
Aléjate,Héctor Lavoe,Album,El sabio,1980
Lloré,Héctor Lavoe,Album,El sabio,1980
Ceora,Héctor Lavoe,Album,El sabio,1980
Ahora me toca a mí,Frankie Ruiz y su Orquesta,Album,"Solista, pero no solo",1985
Esta cobardía,Frankie Ruiz y su Orquesta,Album,"Solista, pero no solo",1985
Como le gustan a usted,Frankie Ruiz y su Orquesta,Album,"Solista, pero no solo",1985
Tú con él,Frankie Ruiz y su Orquesta,Album,"Solista, pero no solo",1985
La cura,Frankie Ruiz y su Orquesta,Album,"Solista, pero no solo",1985
El camionero,Frankie Ruiz y su Orquesta,Album,"Solista, pero no solo",1985
Si esa mujer me dice que sí,Frankie Ruiz y su Orquesta,Album,"Solista, pero no solo",1985
Amor de un momento,Frankie Ruiz y su Orquesta,Album,"Solista, pero no solo",1985
Juan cabeza dura,El Gran Combo de Puerto Rico,Album,Innovations,1985
Camino de amapolas,El Gran Combo de Puerto Rico,Album,Innovations,1985
No me olvides,El Gran Combo de Puerto Rico,Album,Innovations,1985
Resignación,El Gran Combo de Puerto Rico,Album,Innovations,1985
Prosigue,El Gran Combo de Puerto Rico,Album,Innovations,1985
Años,El Gran Combo de Puerto Rico,Album,Innovations,1985
Nunca es tarde,El Gran Combo de Puerto Rico,Album,Innovations,1985
La loma del tamarindo,El Gran Combo de Puerto Rico,Album,Innovations,1985
De que tamaño,Héctor Lavoe,Album,Revento,1985
La vida es bonita,Héctor Lavoe,Album,Revento,1985
Don Fulano de tal,Héctor Lavoe,Album,Revento,1985
La fama,Héctor Lavoe,Album,Revento,1985
Déjala que siga,Héctor Lavoe,Album,Revento,1985
Cáncer,Héctor Lavoe,Album,Revento,1985
Porque no puedo ser feliz,Héctor Lavoe,Album,Revento,1985
Lírica borinqueña,El Gran Combo de Puerto Rico,Album,Y su pueblo,1986
Indecisión,El Gran Combo de Puerto Rico,Album,Y su pueblo,1986
Total pa' qué,El Gran Combo de Puerto Rico,Album,Y su pueblo,1986
Por más que quiera,El Gran Combo de Puerto Rico,Album,Y su pueblo,1986
Garantía,El Gran Combo de Puerto Rico,Album,Y su pueblo,1986
Por ella,El Gran Combo de Puerto Rico,Album,Y su pueblo,1986
Le dicen papá,El Gran Combo de Puerto Rico,Album,Y su pueblo,1986
Nunca fui,El Gran Combo de Puerto Rico,Album,Y su pueblo,1986
Quiero llenarte,Frankie Ruiz,Album,... Voy pa' encima,1987
Si no te hubieras ido,Frankie Ruiz,Album,... Voy pa' encima,1987
Desnúdate mujer,Frankie Ruiz,Album,... Voy pa' encima,1987
Mujeres,Frankie Ruiz,Album,... Voy pa' encima,1987
No me hables mal de ella,Frankie Ruiz,Album,... Voy pa' encima,1987
Imposible amor,Frankie Ruiz,Album,... Voy pa' encima,1987
Quiero verte,Frankie Ruiz,Album,... Voy pa' encima,1987
Voy pa' encima,Frankie Ruiz,Album,... Voy pa' encima,1987
Desesperado,Luis Enrique,Album,Amor y alegría,1988
Tú no le amas le temes,Luis Enrique,Album,Amor y alegría,1988
Compréndelo,Luis Enrique,Album,Amor y alegría,1988
Amor y alegría,Luis Enrique,Album,Amor y alegría,1988
Tu cuerpo,Luis Enrique,Album,Amor y alegría,1988
Volverte a ver,Luis Enrique,Album,Amor y alegría,1988
Qué será de ti,Luis Enrique,Album,Amor y alegría,1988
Tal vez un día amor,Luis Enrique,Album,Amor y alegría,1988
No te quites la ropa,Luis Enrique,Album,Amor y alegría,1988
Pregunta por ahí,Luis Enrique,Album,Amor y alegría,1988
Amor de medianoche,Luis Enrique,Album,Amor y alegría,1988
La mentira,Luis Enrique,Album,Amor y alegría,1988
Quince años,El Gran Combo de Puerto Rico,Album,Romántico y... sabroso,1988
Potro amarrao,El Gran Combo de Puerto Rico,Album,Romántico y... sabroso,1988
Regresa ya,El Gran Combo de Puerto Rico,Album,Romántico y... sabroso,1988
Carta al creador,El Gran Combo de Puerto Rico,Album,Romántico y... sabroso,1988
Cupido,El Gran Combo de Puerto Rico,Album,Romántico y... sabroso,1988
El sediento,El Gran Combo de Puerto Rico,Album,Romántico y... sabroso,1988
Súplica,El Gran Combo de Puerto Rico,Album,Romántico y... sabroso,1988
Un sí o un no,El Gran Combo de Puerto Rico,Album,Romántico y... sabroso,1988
Cielo de tambores,Grupo Niche,Album,Cielo de tambores,1990
Una aventura,Grupo Niche,Album,Cielo de tambores,1990
Se pareció tanto a ti,Grupo Niche,Album,Cielo de tambores,1990
Doña pastora,Grupo Niche,Album,Cielo de tambores,1990
Busca por dentro,Grupo Niche,Album,Cielo de tambores,1990
Debiera olvidarla,Grupo Niche,Album,Cielo de tambores,1990
Sin sentimiento,Grupo Niche,Album,Cielo de tambores,1990
Cali ají,Grupo Niche,Album,Cielo de tambores,1990
Vivir Sin Ella,Gilberto Santa Rosa y su Orq.,Album,Punto de vista,1990
No Hay Nada Mejor,Gilberto Santa Rosa y su Orq.,Album,Punto de vista,1990
Perdóname,Gilberto Santa Rosa y su Orq.,Album,Punto de vista,1990
Me Libere,Gilberto Santa Rosa y su Orq.,Album,Punto de vista,1990
De Cualquier Manera,Gilberto Santa Rosa y su Orq.,Album,Punto de vista,1990
Impaciencia,Gilberto Santa Rosa y su Orq.,Album,Punto de vista,1990
Aunque Tu No Quieras,Gilberto Santa Rosa y su Orq.,Album,Punto de vista,1990
Me Acuerdo De Ti,Gilberto Santa Rosa y su Orq.,Album,Punto de vista,1990
No Me Dejes Solo,Gilberto Santa Rosa y su Orq.,Album,Punto de vista,1990
Conciencia,Gilberto Santa Rosa,Album,Perspectiva,1991
Algo especial,Gilberto Santa Rosa,Album,Perspectiva,1991
Cosas nuevas,Gilberto Santa Rosa,Album,Perspectiva,1991
Se supone,Gilberto Santa Rosa,Album,Perspectiva,1991
Bomba de tiempo,Gilberto Santa Rosa,Album,Perspectiva,1991
Vino tinto,Gilberto Santa Rosa,Album,Perspectiva,1991
¿A quién...? ¿A mí...?,Gilberto Santa Rosa,Album,Perspectiva,1991
Amor mío no te vayas,Gilberto Santa Rosa,Album,Perspectiva,1991
Hasta que vuelvas,Gilberto Santa Rosa,Album,Perspectiva,1991
Sembrando para ti,Gilberto Santa Rosa,Album,Perspectiva,1991
Sobre Tu Cuerpo,Moncho Santana,Album,From Cali with Love,1991
Flechada de Amor,Moncho Santana,Album,From Cali with Love,1991
Adicto a Su Amor,Moncho Santana,Album,From Cali with Love,1991
Con Esa Mujer,Moncho Santana,Album,From Cali with Love,1991
Tendria Que Llorar Por Ti,Moncho Santana,Album,From Cali with Love,1991
Pesadilla,Moncho Santana,Album,From Cali with Love,1991
Riendas Sueltas a El Amor,Moncho Santana,Album,From Cali with Love,1991
Malditos Celos,Moncho Santana,Album,From Cali with Love,1991
Muchachita,Guayacán Orquesta,Album,5 años aferrados al sabor,1991
Como una hoguera,Guayacán Orquesta,Album,5 años aferrados al sabor,1991
Arroz con coco,Guayacán Orquesta,Album,5 años aferrados al sabor,1991
Tema a mamá,Guayacán Orquesta,Album,5 años aferrados al sabor,1991
Guaguancó callejero,Guayacán Orquesta,Album,5 años aferrados al sabor,1991
Yolanda,Guayacán Orquesta,Album,5 años aferrados al sabor,1991
Guitarra y tambó,Guayacán Orquesta,Album,5 años aferrados al sabor,1991
Un vestido bonito,Guayacán Orquesta,Album,5 años aferrados al sabor,1991
El hueco de la fortuna,Wilson Saoco,Album,Sabor en pasta,1991
Mía,Wilson Saoco,Album,Sabor en pasta,1991
Falsaria,Wilson Saoco,Album,Sabor en pasta,1991
Vivo pensando en ella,Wilson Saoco,Album,Sabor en pasta,1991
Sueño de fantasía,Wilson Saoco,Album,Sabor en pasta,1991
El carcelero,Wilson Saoco,Album,Sabor en pasta,1991
Despidamos el amor,Wilson Saoco,Album,Sabor en pasta,1991
No sé perdonar,Wilson Saoco,Album,Sabor en pasta,1991
Regresa,Wilson Saoco,Album,Sabor en pasta,1991
Carnaval currambero,Wilson Saoco,Album,Sabor en pasta,1991
Casi un hechizo,Jerry Rivera,Album,Cuenta conmigo,1992
Amores como el nuestro,Jerry Rivera,Album,Cuenta conmigo,1992
A ti mi nena,Jerry Rivera,Album,Cuenta conmigo,1992
Me estoy muriendo de amor,Jerry Rivera,Album,Cuenta conmigo,1992
El príncipe de la ciudad,Jerry Rivera,Album,Cuenta conmigo,1992
Una en un millón,Jerry Rivera,Album,Cuenta conmigo,1992
Amor de colegio,Jerry Rivera,Album,Cuenta conmigo,1992
Chiquilla,Jerry Rivera,Album,Cuenta conmigo,1992
Cuenta conmigo,Jerry Rivera,Album,Cuenta conmigo,1992
Me estoy enamorando,Jerry Rivera,Album,Cuenta conmigo,1992
Vivir Sin Ti,India,Album,Llegó la India via Eddie Palmieri,1992
Mi Primera Rumba,India,Album,Llegó la India via Eddie Palmieri,1992
Yemayá Y Ochún (Prelude),India,Album,Llegó la India via Eddie Palmieri,1992
Yemayá Y Ochún,India,Album,Llegó la India via Eddie Palmieri,1992
Solitude,India,Album,Llegó la India via Eddie Palmieri,1992
I Wanna Dance,India,Album,Llegó la India via Eddie Palmieri,1992
Soledad (Bilingual Version),India,Album,Llegó la India via Eddie Palmieri,1992
Pero te quiero,Nino Segarra,Album,Loco de amor,1992
Tú volverás a mí,Nino Segarra,Album,Loco de amor,1992
Loco de amor,Nino Segarra,Album,Loco de amor,1992
Y es que tú,Nino Segarra,Album,Loco de amor,1992
Medley de boleros: Lágrimas del alma / Miénteme,Nino Segarra,Album,Loco de amor,1992
Siempre te vas,Nino Segarra,Album,Loco de amor,1992
La otra,Nino Segarra,Album,Loco de amor,1992
Vuelve a mí,Nino Segarra,Album,Loco de amor,1992
Cómo somos,Nino Segarra,Album,Loco de amor,1992
Medley de Camilo Sesto: Melancolía / Mía / Mi buen amor / Jamás / Perdóname / Quererte a ti,Nino Segarra,Album,Loco de amor,1992
Mama Guela,Gilberto Santa Rosa,Album,A dos tiempos de un tiempo,1992
En la oscuridad,Gilberto Santa Rosa,Album,A dos tiempos de un tiempo,1992
El que se fue,Gilberto Santa Rosa,Album,A dos tiempos de un tiempo,1992
Mío,Gilberto Santa Rosa,Album,A dos tiempos de un tiempo,1992
Barangá,Gilberto Santa Rosa,Album,A dos tiempos de un tiempo,1992
Nuestro balance,Gilberto Santa Rosa,Album,A dos tiempos de un tiempo,1992
Qué será,Gilberto Santa Rosa,Album,A dos tiempos de un tiempo,1992
Buscando la melodía,Gilberto Santa Rosa,Album,A dos tiempos de un tiempo,1992
Monólogo,Gilberto Santa Rosa,Album,A dos tiempos de un tiempo,1992
Hoy te canto,Gilberto Santa Rosa,Album,A dos tiempos de un tiempo,1992
Tiemblas,Gilberto Santa Rosa,Album,A dos tiempos de un tiempo,1992
"Cuando, cuando",Gilberto Santa Rosa,Album,A dos tiempos de un tiempo,1992
En la soledad,Gilberto Santa Rosa,Album,A dos tiempos de un tiempo,1992
Abarriba cumbiaremos,Gilberto Santa Rosa,Album,A dos tiempos de un tiempo,1992
Sin voluntad,Gilberto Santa Rosa,Album,Nace aquí,1993
Incógnita,Gilberto Santa Rosa,Album,Nace aquí,1993
Búscame,Gilberto Santa Rosa,Album,Nace aquí,1993
No hay nada más importante,Gilberto Santa Rosa,Album,Nace aquí,1993
Amor de umbral,Gilberto Santa Rosa,Album,Nace aquí,1993
Mal de amores,Gilberto Santa Rosa,Album,Nace aquí,1993
Tiene un amigo,Gilberto Santa Rosa,Album,Nace aquí,1993
Que manera de quererte,Gilberto Santa Rosa,Album,Nace aquí,1993
Bendito tiempo,Gilberto Santa Rosa,Album,Nace aquí,1993
Me volvieron a hablar de ella,Gilberto Santa Rosa,Album,Nace aquí,1993
"Imán ""Ritmo jala-jala""",Gilberto Santa Rosa,Album,Nace aquí,1993
Guaguancó bonito,Ray Barretto,Album,The Best of Ray Barretto / Lo mejor de Ray Barretto,1995
Aprieta el pollo,Ray Barretto,Album,The Best of Ray Barretto / Lo mejor de Ray Barretto,1995
Celosa,Ray Barretto,Album,The Best of Ray Barretto / Lo mejor de Ray Barretto,1995
Dame tu cariño,Ray Barretto,Album,The Best of Ray Barretto / Lo mejor de Ray Barretto,1995
Guajira y tambo,Ray Barretto,Album,The Best of Ray Barretto / Lo mejor de Ray Barretto,1995
A Puerto Rico,Ray Barretto,Album,The Best of Ray Barretto / Lo mejor de Ray Barretto,1995
Ritmo sabroso,Ray Barretto,Album,The Best of Ray Barretto / Lo mejor de Ray Barretto,1995
El camino,Ray Barretto,Album,The Best of Ray Barretto / Lo mejor de Ray Barretto,1995
Teresita,Ray Barretto,Album,The Best of Ray Barretto / Lo mejor de Ray Barretto,1995
El Watusi,Ray Barretto,Album,The Best of Ray Barretto / Lo mejor de Ray Barretto,1995
